        Waves       Grating       DQE     M1_LiF   eLiF        A_eff         BEF
  950 0.4625 0.2537 0.1946 0.2270   0.2292     1.1412e-15
  951 0.4625 0.2545 0.1998 0.2303   0.2490     1.0495e-15
  952 0.4625 0.2554 0.2050 0.2336   0.2699     9.6710e-16
  953 0.4625 0.2563 0.2102 0.2370   0.2920     8.9295e-16
  954 0.4625 0.2571 0.2154 0.2403   0.3153     8.2602e-16
  955 0.4625 0.2580 0.2206 0.2437   0.3389     7.6772e-16
  956 0.4625 0.2589 0.2258 0.2470   0.3631     7.1589e-16
  957 0.4625 0.2597 0.2301 0.2503   0.3867     6.7137e-16
  958 0.4625 0.2606 0.2342 0.2541   0.4113     6.3066e-16
  959 0.4625 0.2615 0.2383 0.2585   0.4369     5.9308e-16
  960 0.4625 0.2623 0.2424 0.2629   0.4636     5.5834e-16
  961 0.4625 0.2632 0.2465 0.2673   0.4914     5.2619e-16
  962 0.4625 0.2641 0.2506 0.2717   0.5203     4.9639e-16
  963 0.4625 0.2649 0.2547 0.2761   0.5505     4.6872e-16
  964 0.4625 0.2658 0.2588 0.2805   0.5818     4.4302e-16
  965 0.4625 0.2667 0.2629 0.2849   0.6144     4.1910e-16
  966 0.4625 0.2675 0.2670 0.2893   0.6482     3.9682e-16
  967 0.4625 0.2684 0.2711 0.2937   0.6723     3.8219e-16
  968 0.4625 0.2693 0.2752 0.2981   0.6965     3.6854e-16
  969 0.4625 0.2701 0.2793 0.3004   0.7213     3.5552e-16
  970 0.4625 0.2710 0.2829 0.3023   0.7453     3.4368e-16
  971 0.4625 0.2719 0.2855 0.3041   0.7671     3.3359e-16
  972 0.4625 0.2727 0.2880 0.3059   0.7893     3.2386e-16
  973 0.4625 0.2736 0.2906 0.3069   0.8056     3.1701e-16
  974 0.4625 0.2745 0.2931 0.3073   0.8174     3.1208e-16
  975 0.4625 0.2753 0.2956 0.3076   0.8294     3.0726e-16
  976 0.4625 0.2762 0.2982 0.3080   0.8415     3.0254e-16
  977 0.4625 0.2771 0.3007 0.3083   0.8537     2.9792e-16
  978 0.4625 0.2780 0.3033 0.3087   0.8659     2.9340e-16
  979 0.4625 0.2788 0.3058 0.3090   0.8721     2.9103e-16
  980 0.4625 0.2797 0.3083 0.3088   0.8560     2.9619e-16
  981 0.4625 0.2806 0.3109 0.3058   0.8398     3.0160e-16
  982 0.4625 0.2814 0.3134 0.3028   0.8234     3.0728e-16
  983 0.4625 0.2823 0.3143 0.2997   0.8027     3.1492e-16
  984 0.4625 0.2832 0.3146 0.2967   0.7808     3.2342e-16
  985 0.4625 0.2840 0.3150 0.2936   0.7591     3.3233e-16
  986 0.4625 0.2849 0.3153 0.2906   0.7414     3.3992e-16
  987 0.4625 0.2858 0.3157 0.2875   0.7244     3.4751e-16
  988 0.4625 0.2866 0.3161 0.2845   0.7076     3.5540e-16
  989 0.4625 0.2875 0.3164 0.2870   0.6909     3.6362e-16
  990 0.4625 0.2884 0.3207 0.2922   0.7231     3.4708e-16
  991 0.4625 0.2892 0.3298 0.2975   0.7951     3.1535e-16
  992 0.4625 0.2901 0.3388 0.3027   0.8743     2.8650e-16
  993 0.4625 0.2910 0.3478 0.3079   0.9615     2.6025e-16
  994 0.4625 0.2918 0.3569 0.3132   1.0544     2.3707e-16
  995 0.4625 0.2927 0.3659 0.3184   1.1533     2.1652e-16
  996 0.4625 0.2936 0.3750 0.3248   1.2584     1.9824e-16
  997 0.4625 0.2944 0.3840 0.3345   1.3699     1.8192e-16
  998 0.4625 0.2953 0.3931 0.3443   1.5008     1.6590e-16
  999 0.4625 0.2962 0.4024 0.3541   1.7402     1.4293e-16
 1000 0.4625 0.2970 0.4190 0.3639   2.0375     1.2195e-16
 1001 0.4625 0.2979 0.4355 0.3736   2.3672     1.0486e-16
 1002 0.4625 0.2988 0.4520 0.3956   2.7112     9.1464e-17
 1003 0.4625 0.2996 0.4686 0.4184   3.0862     8.0271e-17
 1004 0.4625 0.3005 0.4846 0.4412   3.4909     7.0894e-17
 1005 0.4625 0.3014 0.5005 0.4551   3.9092     6.3245e-17
 1006 0.4625 0.3022 0.5164 0.4661   4.3532     5.6738e-17
 1007 0.4625 0.3030 0.5322 0.4771   4.8302     5.1084e-17
 1008 0.4625 0.3039 0.5512 0.4881   5.4609     4.5140e-17
 1009 0.4625 0.3047 0.5715 0.5041   6.2331     3.9508e-17
 1010 0.4625 0.3055 0.5828 0.5248   6.8379     3.5978e-17
 1011 0.4625 0.3063 0.5879 0.5424   7.2385     3.3954e-17
 1012 0.4625 0.3071 0.5930 0.5551   7.6540     3.2078e-17
 1013 0.4625 0.3079 0.5981 0.5677   8.0850     3.0339e-17
 1014 0.4625 0.3087 0.6032 0.5803   8.5315     2.8722e-17
 1015 0.4625 0.3095 0.6083 0.5929   8.9940     2.7218e-17
 1016 0.4625 0.3103 0.6139 0.6055   9.4813     2.5794e-17
 1017 0.4625 0.3111 0.6207 0.6180  10.0045     2.4421e-17
 1018 0.4625 0.3119 0.6275 0.6259  10.5472     2.3142e-17
 1019 0.4625 0.3127 0.6335 0.6337  10.9121     2.2346e-17
 1020 0.4625 0.3136 0.6363 0.6415  11.2220     2.1708e-17
 1021 0.4625 0.3144 0.6391 0.6493  11.5379     2.1093e-17
 1022 0.4625 0.3152 0.6420 0.6571  11.7971     2.0609e-17
 1023 0.4625 0.3161 0.6448 0.6629  12.0426     2.0169e-17
 1024 0.4625 0.3169 0.6476 0.6678  12.2917     1.9741e-17
 1025 0.4625 0.3177 0.6504 0.6726  12.5445     1.9324e-17
 1026 0.4625 0.3185 0.6533 0.6775  12.8011     1.8919e-17
 1027 0.4625 0.3194 0.6561 0.6824  13.0523     1.8536e-17
 1028 0.4625 0.3202 0.6589 0.6873  13.2970     1.8178e-17
 1029 0.4625 0.3210 0.6613 0.6922  13.5354     1.7840e-17
 1030 0.4625 0.3219 0.6635 0.6971  13.7741     1.7514e-17
 1031 0.4625 0.3227 0.6657 0.7020  14.0159     1.7195e-17
 1032 0.4625 0.3235 0.6679 0.7069  14.2607     1.6884e-17
 1033 0.4625 0.3243 0.6702 0.7116  14.5086     1.6579e-17
 1034 0.4625 0.3252 0.6724 0.7150  14.7595     1.6281e-17
 1035 0.4625 0.3260 0.6746 0.7185  15.0137     1.5990e-17
 1036 0.4625 0.3268 0.6768 0.7219  15.2708     1.5706e-17
 1037 0.4625 0.3276 0.6786 0.7253  15.4873     1.5471e-17
 1038 0.4625 0.3285 0.6798 0.7287  15.6890     1.5258e-17
 1039 0.4625 0.3293 0.6809 0.7322  15.8925     1.5048e-17
 1040 0.4625 0.3301 0.6821 0.7356  16.0977     1.4842e-17
 1041 0.4625 0.3309 0.6833 0.7390  16.3048     1.4639e-17
 1042 0.4625 0.3317 0.6845 0.7424  16.4655     1.4482e-17
 1043 0.4625 0.3325 0.6856 0.7458  16.5976     1.4353e-17
 1044 0.4625 0.3334 0.6868 0.7488  16.7305     1.4226e-17
 1045 0.4625 0.3342 0.6880 0.7512  16.8641     1.4099e-17
 1046 0.4625 0.3350 0.6891 0.7537  16.9986     1.3975e-17
 1047 0.4625 0.3358 0.6903 0.7561  17.1339     1.3851e-17
 1048 0.4625 0.3366 0.6915 0.7586  17.2700     1.3729e-17
 1049 0.4625 0.3374 0.6926 0.7610  17.4068     1.3608e-17
 1050 0.4625 0.3383 0.6938 0.7635  17.5375     1.3494e-17
 1051 0.4625 0.3391 0.6938 0.7659  17.5931     1.3438e-17
 1052 0.4625 0.3399 0.6935 0.7684  17.6424     1.3388e-17
 1053 0.4625 0.3407 0.6933 0.7708  17.6917     1.3338e-17
 1054 0.4625 0.3415 0.6930 0.7733  17.7410     1.3288e-17
 1055 0.4625 0.3423 0.6928 0.7757  17.7904     1.3239e-17
 1056 0.4625 0.3432 0.6925 0.7782  17.8398     1.3190e-17
 1057 0.4625 0.3440 0.6922 0.7799  17.8892     1.3141e-17
 1058 0.4625 0.3448 0.6920 0.7815  17.9386     1.3092e-17
 1059 0.4625 0.3456 0.6917 0.7831  17.9880     1.3044e-17
 1060 0.4625 0.3464 0.6915 0.7847  18.0372     1.2996e-17
 1061 0.4625 0.3472 0.6920 0.7863  18.1065     1.2934e-17
 1062 0.4625 0.3480 0.6938 0.7878  18.2100     1.2848e-17
 1063 0.4625 0.3488 0.6956 0.7894  18.3137     1.2764e-17
 1064 0.4625 0.3496 0.6974 0.7910  18.4177     1.2680e-17
 1065 0.4625 0.3504 0.6992 0.7926  18.5221     1.2596e-17
 1066 0.4625 0.3512 0.7010 0.7941  18.6269     1.2514e-17
 1067 0.4625 0.3520 0.7029 0.7957  18.7334     1.2431e-17
 1068 0.4625 0.3528 0.7046 0.7973  18.8446     1.2346e-17
 1069 0.4625 0.3536 0.7046 0.7989  18.9102     1.2292e-17
 1070 0.4625 0.3544 0.7046 0.8004  18.9759     1.2238e-17
 1071 0.4625 0.3552 0.7046 0.8020  19.0418     1.2184e-17
 1072 0.4625 0.3561 0.7046 0.8027  19.1077     1.2130e-17
 1073 0.4625 0.3569 0.7046 0.8033  19.1738     1.2077e-17
 1074 0.4625 0.3577 0.7045 0.8039  19.2400     1.2025e-17
 1075 0.4625 0.3585 0.7045 0.8046  19.3063     1.1972e-17
 1076 0.4625 0.3593 0.7045 0.8052  19.3728     1.1920e-17
 1077 0.4625 0.3601 0.7045 0.8058  19.4393     1.1868e-17
 1078 0.4625 0.3609 0.7045 0.8064  19.4863     1.1829e-17
 1079 0.4625 0.3617 0.7045 0.8070  19.5170     1.1799e-17
 1080 0.4625 0.3625 0.7045 0.8076  19.5475     1.1770e-17
 1081 0.4625 0.3633 0.7045 0.8083  19.5773     1.1741e-17
 1082 0.4625 0.3640 0.7048 0.8089  19.6156     1.1707e-17
 1083 0.4625 0.3648 0.7055 0.8095  19.6637     1.1668e-17
 1084 0.4625 0.3656 0.7062 0.8100  19.7112     1.1629e-17
 1085 0.4625 0.3663 0.7069 0.8100  19.7583     1.1591e-17
 1086 0.4625 0.3671 0.7076 0.8100  19.8054     1.1552e-17
 1087 0.4625 0.3678 0.7083 0.8100  19.8526     1.1514e-17
 1088 0.4625 0.3686 0.7090 0.8100  19.9466     1.1449e-17
 1089 0.4625 0.3693 0.7097 0.8100  20.0411     1.1385e-17
 1090 0.4625 0.3701 0.7104 0.8100  20.1360     1.1321e-17
 1091 0.4625 0.3708 0.7110 0.8101  20.2311     1.1257e-17
 1092 0.4625 0.3716 0.7117 0.8101  20.3265     1.1194e-17
 1093 0.4625 0.3723 0.7124 0.8101  20.4223     1.1132e-17
 1094 0.4625 0.3731 0.7131 0.8101  20.5184     1.1069e-17
 1095 0.4625 0.3739 0.7138 0.8101  20.5872     1.1022e-17
 1096 0.4625 0.3746 0.7145 0.8101  20.6353     1.0987e-17
 1097 0.4625 0.3754 0.7152 0.8101  20.6835     1.0951e-17
 1098 0.4625 0.3761 0.7159 0.8101  20.7316     1.0916e-17
 1099 0.4625 0.3769 0.7166 0.8100  20.7798     1.0880e-17
 1100 0.4625 0.3776 0.7172 0.8098  20.8279     1.0845e-17
 1101 0.4625 0.3784 0.7179 0.8097  20.8761     1.0811e-17
 1102 0.4625 0.3791 0.7186 0.8095  20.9233     1.0776e-17
 1103 0.4625 0.3798 0.7193 0.8093  20.9682     1.0743e-17
 1104 0.4625 0.3805 0.7200 0.8091  21.0107     1.0712e-17
 1105 0.4625 0.3811 0.7204 0.8089  21.0321     1.0691e-17
 1106 0.4625 0.3816 0.7205 0.8087  21.0423     1.0677e-17
 1107 0.4625 0.3822 0.7206 0.8085  21.0511     1.0663e-17
 1108 0.4625 0.3827 0.7207 0.8083  21.0599     1.0648e-17
 1109 0.4625 0.3833 0.7208 0.8081  21.0686     1.0634e-17
 1110 0.4625 0.3839 0.7209 0.8080  21.0773     1.0620e-17
 1111 0.4625 0.3844 0.7211 0.8078  21.0859     1.0607e-17
 1112 0.4625 0.3850 0.7212 0.8076  21.0945     1.0593e-17
 1113 0.4625 0.3855 0.7213 0.8074  21.1030     1.0579e-17
 1114 0.4625 0.3861 0.7214 0.8072  21.1115     1.0565e-17
 1115 0.4625 0.3866 0.7215 0.8070  21.1199     1.0552e-17
 1116 0.4625 0.3872 0.7216 0.8068  21.1282     1.0538e-17
 1117 0.4625 0.3877 0.7217 0.8066  21.1365     1.0524e-17
 1118 0.4625 0.3882 0.7218 0.8065  21.1413     1.0513e-17
 1119 0.4625 0.3886 0.7219 0.8063  21.1400     1.0504e-17
 1120 0.4625 0.3888 0.7220 0.8061  21.1326     1.0498e-17
 1121 0.4625 0.3890 0.7221 0.8059  21.1193     1.0495e-17
 1122 0.4625 0.3891 0.7222 0.8057  21.1000     1.0496e-17
 1123 0.4625 0.3890 0.7223 0.8055  21.0748     1.0499e-17
 1124 0.4625 0.3888 0.7224 0.8053  21.0443     1.0505e-17
 1125 0.4625 0.3886 0.7225 0.8051  21.0086     1.0513e-17
 1126 0.4625 0.3882 0.7226 0.8046  20.9676     1.0524e-17
 1127 0.4625 0.3878 0.7228 0.8039  20.9214     1.0538e-17
 1128 0.4625 0.3873 0.7229 0.8032  20.8732     1.0553e-17
 1129 0.4625 0.3868 0.7232 0.8025  20.8305     1.0565e-17
 1130 0.4625 0.3863 0.7237 0.8019  20.7951     1.0574e-17
 1131 0.4625 0.3858 0.7243 0.8012  20.7644     1.0580e-17
 1132 0.4625 0.3840 0.7248 0.8005  20.6672     1.0621e-17
 1133 0.4625 0.3822 0.7254 0.7999  20.5694     1.0662e-17
 1134 0.4625 0.3803 0.7259 0.7992  20.4708     1.0704e-17
 1135 0.4625 0.3785 0.7264 0.7985  20.3716     1.0746e-17
 1136 0.4625 0.3766 0.7270 0.7978  20.2717     1.0790e-17
 1137 0.4625 0.3761 0.7275 0.7972  20.2423     1.0796e-17
 1138 0.4625 0.3755 0.7281 0.7965  20.2129     1.0802e-17
 1139 0.4625 0.3750 0.7286 0.7958  20.1835     1.0808e-17
 1140 0.4625 0.3744 0.7292 0.7951  20.1540     1.0815e-17
 1141 0.4625 0.3739 0.7297 0.7945  20.1245     1.0821e-17
 1142 0.4625 0.3732 0.7303 0.7938  20.0873     1.0832e-17
 1143 0.4625 0.3723 0.7308 0.7931  20.0402     1.0848e-17
 1144 0.4625 0.3712 0.7314 0.7925  19.9832     1.0869e-17
 1145 0.4625 0.3700 0.7319 0.7919  19.9163     1.0896e-17
 1146 0.4625 0.3685 0.7325 0.7914  19.8394     1.0929e-17
 1147 0.4625 0.3671 0.7330 0.7909  19.7603     1.0963e-17
 1148 0.4625 0.3656 0.7336 0.7904  19.6707     1.1003e-17
 1149 0.4625 0.3641 0.7341 0.7899  19.5715     1.1049e-17
 1150 0.4625 0.3627 0.7347 0.7894  19.4724     1.1096e-17
