waves, flux
9.390000000000000000e+02,3.380684765695122454e-12
9.410000000000000000e+02,4.668448925259941255e-12
9.430000000000000000e+02,5.276511415748079477e-12
9.450000000000000000e+02,5.062689490214684204e-12
9.470000000000000000e+02,4.070776268155773536e-12
9.490000000000000000e+02,2.310961762646858776e-12
9.510000000000000000e+02,3.158982472730419307e-12
9.530000000000000000e+02,4.435536593291024774e-12
9.550000000000000000e+02,5.799385500033285353e-12
9.570000000000000000e+02,6.487239500207911773e-12
9.590000000000000000e+02,6.842599493871260977e-12
9.610000000000000000e+02,6.941577309916349478e-12
9.630000000000000000e+02,6.536989572821040421e-12
9.650000000000000000e+02,6.233791966762146817e-12
9.670000000000000000e+02,5.695704175594643948e-12
9.690000000000000000e+02,4.501251042905718425e-12
9.710000000000000000e+02,2.960087644876108474e-12
9.730000000000000000e+02,2.196430660125661801e-12
9.750000000000000000e+02,4.018773644436595586e-12
9.770000000000000000e+02,4.996088930483905099e-12
9.790000000000000000e+02,6.312356589570655240e-12
9.810000000000000000e+02,6.931799304490804347e-12
9.830000000000000000e+02,7.386777686187732517e-12
9.850000000000000000e+02,7.598639067237335147e-12
9.870000000000000000e+02,7.572987925222390052e-12
9.890000000000000000e+02,6.564203851349699903e-12
9.910000000000000000e+02,7.803236483238891530e-12
9.930000000000000000e+02,8.252391194638811042e-12
9.950000000000000000e+02,8.289187450616064456e-12
9.970000000000000000e+02,7.837511360057188403e-12
9.990000000000000000e+02,8.036631560453872577e-12
1.001000000000000000e+03,7.915467107073553359e-12
1.003000000000000000e+03,7.784748920415259477e-12
1.005000000000000000e+03,7.653148449031194468e-12
1.007000000000000000e+03,7.478776236582562608e-12
1.009000000000000000e+03,7.320492423713150342e-12
1.011000000000000000e+03,7.117486307557021185e-12
1.013000000000000000e+03,6.838557354435143706e-12
1.015000000000000000e+03,6.516222440556655789e-12
1.017000000000000000e+03,6.051188547834226847e-12
1.019000000000000000e+03,5.433673620062001023e-12
1.021000000000000000e+03,4.524634652111866558e-12
1.023000000000000000e+03,3.536933908914809588e-12
1.025000000000000000e+03,2.334667148009215532e-12
1.027000000000000000e+03,2.707376930643684857e-12
1.029000000000000000e+03,3.858098256173471952e-12
1.031000000000000000e+03,4.798187418147570680e-12
1.033000000000000000e+03,5.470211340286925306e-12
1.035000000000000000e+03,5.970040225841219664e-12
1.037000000000000000e+03,6.011907580510279595e-12
1.039000000000000000e+03,6.282240987961048847e-12
1.041000000000000000e+03,6.680044405996987138e-12
1.043000000000000000e+03,6.716021453224566034e-12
1.045000000000000000e+03,6.858083844009936048e-12
1.047000000000000000e+03,6.936616471065348170e-12
1.049000000000000000e+03,6.798521710758608079e-12
1.051000000000000000e+03,6.978653008443150522e-12
1.053000000000000000e+03,6.946127278385620814e-12
1.055000000000000000e+03,6.971858727396286307e-12
1.057000000000000000e+03,6.992137411571917744e-12
1.059000000000000000e+03,6.962364825181576030e-12
1.061000000000000000e+03,6.926845790340714430e-12
1.063000000000000000e+03,6.845107326715068297e-12
1.065000000000000000e+03,6.891577456835445914e-12
1.067000000000000000e+03,6.705802256034579482e-12
1.069000000000000000e+03,6.803450354262448625e-12
1.071000000000000000e+03,6.789915212533474838e-12
1.073000000000000000e+03,6.714197188398382162e-12
1.075000000000000000e+03,6.697871795881469592e-12
1.077000000000000000e+03,6.643685345393430844e-12
1.079000000000000000e+03,6.642852576745018670e-12
1.081000000000000000e+03,6.590549067210209440e-12
1.083000000000000000e+03,6.403932199683055141e-12
1.085000000000000000e+03,6.581896007429959787e-12
1.087000000000000000e+03,6.439867589858760370e-12
1.089000000000000000e+03,6.773692447496489600e-12
1.091000000000000000e+03,6.310621851130645110e-12
1.093000000000000000e+03,6.216881790435848861e-12
1.095000000000000000e+03,6.088468154999651226e-12
1.097000000000000000e+03,6.094054269486770447e-12
1.099000000000000000e+03,6.043047767073974870e-12
1.101000000000000000e+03,6.030064668531114121e-12
1.103000000000000000e+03,5.973334093995640829e-12
1.105000000000000000e+03,5.878154733796048248e-12
1.107000000000000000e+03,5.910789999250204496e-12
1.109000000000000000e+03,5.854974627405051345e-12
1.111000000000000000e+03,5.853578816196379660e-12
1.113000000000000000e+03,5.839603177030416285e-12
1.115000000000000000e+03,5.840370448603172190e-12
1.117000000000000000e+03,5.783136260750524108e-12
1.119000000000000000e+03,5.853105706977731160e-12
1.121000000000000000e+03,5.874764922556606937e-12
1.123000000000000000e+03,5.722855650656421560e-12
