wavelength_100s,photons_100s,wavelength_1000s,photons_1000s
9.390000000000000000e+02,3.979173572273613235e+00,9.390000000000000000e+02,3.979173572273613502e+01
9.410000000000000000e+02,5.506616731042986324e+00,9.410000000000000000e+02,5.506616731042986146e+01
9.430000000000000000e+02,6.237078204466114606e+00,9.430000000000000000e+02,6.237078204466114073e+01
9.450000000000000000e+02,5.997023005725210965e+00,9.450000000000000000e+02,5.997023005725211675e+01
9.470000000000000000e+02,4.832254817846615147e+00,9.470000000000000000e+02,4.832254817846614969e+01
9.490000000000000000e+02,2.749043340446173378e+00,9.490000000000000000e+02,2.749043340446173644e+01
9.510000000000000000e+02,3.765740142717656891e+00,9.510000000000000000e+02,3.765740142717656624e+01
9.530000000000000000e+02,6.213627099840529411e+00,9.530000000000000000e+02,6.213627099840528700e+01
9.550000000000000000e+02,9.448876799929319503e+00,9.550000000000000000e+02,9.448876799929320214e+01
9.570000000000000000e+02,1.208563041855412834e+01,9.570000000000000000e+02,1.208563041855412763e+02
9.590000000000000000e+02,1.443261545780779187e+01,9.590000000000000000e+02,1.443261545780779045e+02
9.610000000000000000e+02,1.650212879340263683e+01,9.610000000000000000e+02,1.650212879340263612e+02
9.630000000000000000e+02,1.744555017823555687e+01,9.630000000000000000e+02,1.744555017823555829e+02
9.650000000000000000e+02,1.860604611308221479e+01,9.650000000000000000e+02,1.860604611308221479e+02
9.670000000000000000e+02,1.864061676112092414e+01,9.670000000000000000e+02,1.864061676112092414e+02
9.690000000000000000e+02,1.583784950508892564e+01,9.690000000000000000e+02,1.583784950508892280e+02
9.710000000000000000e+02,1.109938844147420056e+01,9.710000000000000000e+02,1.109938844147420127e+02
9.730000000000000000e+02,8.667085141166424478e+00,9.730000000000000000e+02,8.667085141166423057e+01
9.750000000000000000e+02,1.636008138597190609e+01,9.750000000000000000e+02,1.636008138597190680e+02
9.770000000000000000e+02,2.097747793728440158e+01,9.770000000000000000e+02,2.097747793728440229e+02
9.790000000000000000e+02,2.713087312474107904e+01,9.790000000000000000e+02,2.713087312474107762e+02
9.810000000000000000e+02,2.874842955974366632e+01,9.810000000000000000e+02,2.874842955974366987e+02
9.830000000000000000e+02,2.934168680258150985e+01,9.830000000000000000e+02,2.934168680258151198e+02
9.850000000000000000e+02,2.860186192215356016e+01,9.850000000000000000e+02,2.860186192215356300e+02
9.870000000000000000e+02,2.725750662498803578e+01,9.870000000000000000e+02,2.725750662498803081e+02
9.890000000000000000e+02,2.257962950213628872e+01,9.890000000000000000e+02,2.257962950213628517e+02
9.910000000000000000e+02,3.095233693757737825e+01,9.910000000000000000e+02,3.095233693757737683e+02
9.930000000000000000e+02,3.966446599263633033e+01,9.930000000000000000e+02,3.966446599263633175e+02
9.950000000000000000e+02,4.788512233106578719e+01,9.950000000000000000e+02,4.788512233106579288e+02
9.970000000000000000e+02,5.388718224150108682e+01,9.970000000000000000e+02,5.388718224150107972e+02
9.990000000000000000e+02,7.033345935394834214e+01,9.990000000000000000e+02,7.033345935394834214e+02
1.001000000000000000e+03,9.442105437759323650e+01,1.001000000000000000e+03,9.442105437759322513e+02
1.003000000000000000e+03,1.213089594554879085e+02,1.003000000000000000e+03,1.213089594554879113e+03
1.005000000000000000e+03,1.513621740473306261e+02,1.005000000000000000e+03,1.513621740473306545e+03
1.007000000000000000e+03,1.831253177219590214e+02,1.007000000000000000e+03,1.831253177219590043e+03
1.009000000000000000e+03,2.317708555332194464e+02,1.009000000000000000e+03,2.317708555332194464e+03
1.011000000000000000e+03,2.622102365428639246e+02,1.011000000000000000e+03,2.622102365428638677e+03
1.013000000000000000e+03,2.819533317748360446e+02,1.013000000000000000e+03,2.819533317748360332e+03
1.015000000000000000e+03,2.994594994157056931e+02,1.015000000000000000e+03,2.994594994157056590e+03
1.017000000000000000e+03,3.099419023895767964e+02,1.017000000000000000e+03,3.099419023895768532e+03
1.019000000000000000e+03,3.041580655234988058e+02,1.019000000000000000e+03,3.041580655234988171e+03
1.021000000000000000e+03,2.683238628728960293e+02,1.021000000000000000e+03,2.683238628728959611e+03
1.023000000000000000e+03,2.193542772957396210e+02,1.023000000000000000e+03,2.193542772957396210e+03
1.025000000000000000e+03,1.511212235215027704e+02,1.025000000000000000e+03,1.511212235215027704e+03
1.027000000000000000e+03,1.826961866131516388e+02,1.027000000000000000e+03,1.826961866131516445e+03
1.029000000000000000e+03,2.705098109479630466e+02,1.029000000000000000e+03,2.705098109479630239e+03
1.031000000000000000e+03,3.490439628673489665e+02,1.031000000000000000e+03,3.490439628673490006e+03
1.033000000000000000e+03,4.127178021436805011e+02,1.033000000000000000e+03,4.127178021436806375e+03
1.035000000000000000e+03,4.670126112811142889e+02,1.035000000000000000e+03,4.670126112811142775e+03
1.037000000000000000e+03,4.860601658293704190e+02,1.037000000000000000e+03,4.860601658293704531e+03
1.039000000000000000e+03,5.222105329928427864e+02,1.039000000000000000e+03,5.222105329928427636e+03
1.041000000000000000e+03,5.707800992013949326e+02,1.041000000000000000e+03,5.707800992013949326e+03
