wavelength_100s,snr_100s,wavelength_1000s,snr_1000s
9.390000000000000000e+02,1.989916748587099660e+00,9.390000000000000000e+02,6.292669279651883052e+00
9.410000000000000000e+02,2.342474234792001564e+00,9.410000000000000000e+02,7.407553942202764752e+00
9.430000000000000000e+02,2.493519396455252668e+00,9.430000000000000000e+02,7.885200682606986256e+00
9.450000000000000000e+02,2.444910265568095209e+00,9.450000000000000000e+02,7.731485113922327734e+00
9.470000000000000000e+02,2.193817036936180909e+00,9.470000000000000000e+02,6.937458606400072725e+00
9.490000000000000000e+02,1.652174532862930034e+00,9.490000000000000000e+02,5.224634615971571527e+00
9.510000000000000000e+02,1.935546589130709760e+00,9.510000000000000000e+02,6.120735739023147381e+00
9.530000000000000000e+02,2.488812589274793208e+00,9.530000000000000000e+02,7.870316451409499869e+00
9.550000000000000000e+02,3.070735573104272031e+00,9.550000000000000000e+02,9.710518503111984501e+00
9.570000000000000000e+02,3.473638126065393461e+00,9.570000000000000000e+02,1.098460824556574522e+01
9.590000000000000000e+02,3.796464377395735390e+00,9.590000000000000000e+02,1.200547448826358909e+01
9.610000000000000000e+02,4.059883225991594458e+00,9.610000000000000000e+02,1.283847802844555197e+01
9.630000000000000000e+02,4.174454688973000316e+00,9.630000000000000000e+02,1.320078480632445839e+01
9.650000000000000000e+02,4.311214043467452406e+00,9.650000000000000000e+02,1.363325585786131455e+01
9.670000000000000000e+02,4.315221563118969428e+00,9.670000000000000000e+02,1.364592874772798936e+01
9.690000000000000000e+02,3.977231887193171556e+00,9.690000000000000000e+02,1.257711154618029070e+01
9.710000000000000000e+02,3.328651775124064294e+00,9.710000000000000000e+02,1.052612114695464918e+01
9.730000000000000000e+02,2.940685109895373905e+00,9.730000000000000000e+02,9.299262828611936982e+00
9.750000000000000000e+02,4.042351370285729217e+00,9.750000000000000000e+02,1.278303743280559779e+01
9.770000000000000000e+02,4.577990393942891423e+00,9.770000000000000000e+02,1.447687675123104611e+01
9.790000000000000000e+02,5.206859622658696729e+00,9.790000000000000000e+02,1.646553586436635541e+01
9.810000000000000000e+02,5.359938691588504334e+00,9.810000000000000000e+02,1.694961438428246225e+01
9.830000000000000000e+02,5.414997668822423726e+00,9.830000000000000000e+02,1.712372615798100384e+01
9.850000000000000000e+02,5.346248704249071615e+00,9.850000000000000000e+02,1.690632284315098488e+01
9.870000000000000000e+02,5.219005706578665027e+00,9.870000000000000000e+02,1.650394515420499886e+01
9.890000000000000000e+02,4.749752238591568698e+00,9.890000000000000000e+02,1.502003539543286692e+01
9.910000000000000000e+02,5.561730775114896552e+00,9.910000000000000000e+02,1.758773698201679991e+01
9.930000000000000000e+02,6.296425618919985645e+00,9.930000000000000000e+02,1.991104607362253276e+01
9.950000000000000000e+02,6.918499134112337856e+00,9.950000000000000000e+02,2.187821525369772147e+01
9.970000000000000000e+02,7.339461103879328263e+00,9.970000000000000000e+02,2.320941388647235115e+01
9.990000000000000000e+02,8.385342256511552961e+00,9.990000000000000000e+02,2.651678049063238873e+01
1.001000000000000000e+03,9.716046438955279640e+00,1.001000000000000000e+03,3.072483659906681197e+01
1.003000000000000000e+03,1.101314953088090931e+01,1.003000000000000000e+03,3.482663672959856882e+01
1.005000000000000000e+03,1.230214113718394486e+01,1.005000000000000000e+03,3.890278609035521384e+01
1.007000000000000000e+03,1.353165990550253461e+01,1.007000000000000000e+03,4.279086582416682205e+01
1.009000000000000000e+03,1.522338192300615312e+01,1.009000000000000000e+03,4.814056056733349465e+01
1.011000000000000000e+03,1.619230490056706984e+01,1.011000000000000000e+03,5.120456405369820629e+01
1.013000000000000000e+03,1.679088541808829760e+01,1.013000000000000000e+03,5.309744185206761813e+01
1.015000000000000000e+03,1.730433473686321122e+01,1.015000000000000000e+03,5.472111116245820028e+01
1.017000000000000000e+03,1.760461313452648469e+01,1.017000000000000000e+03,5.567067483121993376e+01
1.019000000000000000e+03,1.743956899621062817e+01,1.019000000000000000e+03,5.514875943968196026e+01
1.021000000000000000e+03,1.637999890994879948e+01,1.021000000000000000e+03,5.179810462651348502e+01
1.023000000000000000e+03,1.480995540267027977e+01,1.023000000000000000e+03,4.683319111795422174e+01
1.025000000000000000e+03,1.229234420431554753e+01,1.025000000000000000e+03,3.887180546840730955e+01
1.027000000000000000e+03,1.351579404601349310e+01,1.027000000000000000e+03,4.274069357114525758e+01
1.029000000000000000e+03,1.644658968763861751e+01,1.029000000000000000e+03,5.200868315517523399e+01
1.031000000000000000e+03,1.868219644358479670e+01,1.031000000000000000e+03,5.907829245642535199e+01
1.033000000000000000e+03,2.031497730899468124e+01,1.033000000000000000e+03,6.424159891106143050e+01
1.035000000000000000e+03,2.161002341727787623e+01,1.035000000000000000e+03,6.833689428817335454e+01
1.037000000000000000e+03,2.204633000323748959e+01,1.037000000000000000e+03,6.971661685793780805e+01
1.039000000000000000e+03,2.285149959457737978e+01,1.039000000000000000e+03,7.226278666927883876e+01
1.041000000000000000e+03,2.389059647366649131e+01,1.041000000000000000e+03,7.554869951677301287e+01
1.043000000000000000e+03,2.419219295536974812e+01,1.043000000000000000e+03,7.650243133324860878e+01
1.045000000000000000e+03,2.466583370089437111e+01,1.045000000000000000e+03,7.800021488176660966e+01
1.047000000000000000e+03,2.502823191710302098e+01,1.047000000000000000e+03,7.914621866496808877e+01
1.049000000000000000e+03,2.499823327200421019e+01,1.049000000000000000e+03,7.905135461973681288e+01
1.051000000000000000e+03,2.548669146372773042e+01,1.051000000000000000e+03,8.059599504735032838e+01
1.053000000000000000e+03,2.552263272685454609e+01,1.053000000000000000e+03,8.070965130081449956e+01
1.055000000000000000e+03,2.566543215296501756e+01,1.055000000000000000e+03,8.116122273588850078e+01
1.057000000000000000e+03,2.579842557426073313e+01,1.057000000000000000e+03,8.158178486100131011e+01
1.059000000000000000e+03,2.583884516827139066e+01,1.059000000000000000e+03,8.170960284017427000e+01
1.061000000000000000e+03,2.588201109491992113e+01,1.061000000000000000e+03,8.184610548569540356e+01
1.063000000000000000e+03,2.590002199248438330e+01,1.063000000000000000e+03,8.190306094470308551e+01
1.065000000000000000e+03,2.615981591533889627e+01,1.065000000000000000e+03,8.272460146319340879e+01
1.067000000000000000e+03,2.597593822628257954e+01,1.067000000000000000e+03,8.214312915488723377e+01
1.069000000000000000e+03,2.631219273369014999e+01,1.069000000000000000e+03,8.320645927179310775e+01
1.071000000000000000e+03,2.640197832464593120e+01,1.071000000000000000e+03,8.349038624027758715e+01
1.073000000000000000e+03,2.636978252026784730e+01,1.073000000000000000e+03,8.338857416734164474e+01
1.075000000000000000e+03,2.645317198676547221e+01,1.075000000000000000e+03,8.365227481434044421e+01
1.077000000000000000e+03,2.646112333664363092e+01,1.077000000000000000e+03,8.367741919042832421e+01
