waves,flux
9.390000000000000000e+02,2.204184327651385505e-10
9.410000000000000000e+02,2.605024361378944357e-10
9.430000000000000000e+02,1.753719124828254815e-10
9.450000000000000000e+02,2.296113965252380019e-10
9.470000000000000000e+02,2.939250809708438323e-10
9.490000000000000000e+02,1.405773108275105337e-10
9.510000000000000000e+02,2.340300621011366485e-10
9.530000000000000000e+02,2.816000888411304849e-10
9.550000000000000000e+02,1.816275661026229747e-10
9.570000000000000000e+02,2.482018475777645322e-10
9.590000000000000000e+02,2.117431139761791483e-10
9.610000000000000000e+02,3.333772023871183201e-10
9.630000000000000000e+02,3.053701446009541405e-10
9.650000000000000000e+02,2.847060497364994180e-10
9.670000000000000000e+02,3.055000333037957717e-10
9.690000000000000000e+02,3.362394911110566653e-10
9.710000000000000000e+02,2.626157375269912702e-10
9.730000000000000000e+02,1.273889213800743209e-10
9.750000000000000000e+02,2.801034143001683482e-10
9.770000000000000000e+02,1.918690560744942607e-10
9.790000000000000000e+02,3.115210091060680596e-10
9.810000000000000000e+02,2.626448981141788490e-10
9.830000000000000000e+02,3.134538687638022125e-10
9.850000000000000000e+02,3.238604988501346387e-10
9.870000000000000000e+02,2.878003601787595515e-10
9.890000000000000000e+02,1.964015991818379385e-10
9.910000000000000000e+02,1.875453653823932357e-10
9.930000000000000000e+02,1.657295113148350883e-10
9.950000000000000000e+02,2.248065532038113746e-10
9.970000000000000000e+02,2.815953642018547924e-10
9.990000000000000000e+02,2.734411492867825868e-10
1.001000000000000000e+03,2.767169924342748596e-10
1.003000000000000000e+03,2.784627277301566350e-10
1.005000000000000000e+03,2.912366663779273401e-10
1.007000000000000000e+03,2.676825266241851888e-10
1.009000000000000000e+03,2.629763457466912952e-10
1.011000000000000000e+03,2.295274860698124580e-10
1.013000000000000000e+03,2.454024108519893446e-10
1.015000000000000000e+03,2.765788570391336521e-10
1.017000000000000000e+03,2.684617877208544034e-10
1.019000000000000000e+03,3.238600752654617278e-10
1.021000000000000000e+03,2.881519934447971312e-10
1.023000000000000000e+03,2.825655164583617246e-10
1.025000000000000000e+03,1.392451621375935554e-10
1.027000000000000000e+03,1.784845896812359090e-10
1.029000000000000000e+03,2.606479592690127229e-10
1.031000000000000000e+03,2.555833163268332635e-10
1.033000000000000000e+03,3.116918737000595740e-10
1.035000000000000000e+03,3.127131045940266581e-10
1.037000000000000000e+03,2.011787573999364463e-10
1.039000000000000000e+03,2.699514283105361706e-10
1.041000000000000000e+03,2.856570742391003072e-10
1.043000000000000000e+03,3.300484271849170177e-10
1.045000000000000000e+03,3.217986652868263391e-10
1.047000000000000000e+03,3.034514937454383906e-10
1.049000000000000000e+03,2.757757624954051632e-10
1.051000000000000000e+03,2.825642769008964327e-10
1.053000000000000000e+03,3.024490380365563169e-10
1.055000000000000000e+03,2.969370541324253378e-10
1.057000000000000000e+03,3.070328025819318753e-10
1.059000000000000000e+03,3.189962274429749767e-10
1.061000000000000000e+03,3.176127580772306015e-10
1.063000000000000000e+03,2.709560854305487972e-10
1.065000000000000000e+03,2.932522308949560729e-10
1.067000000000000000e+03,2.576195537962762451e-10
1.069000000000000000e+03,2.809870829935390280e-10
1.071000000000000000e+03,2.741938108187834119e-10
1.073000000000000000e+03,2.651996383179904938e-10
1.075000000000000000e+03,2.631877339996326237e-10
1.077000000000000000e+03,2.779133493201233569e-10
1.079000000000000000e+03,2.714124213676002191e-10
1.081000000000000000e+03,2.917557806044597020e-10
1.083000000000000000e+03,2.788897064138211196e-10
1.085000000000000000e+03,1.447059275404164988e-10
1.087000000000000000e+03,2.295321312443828124e-10
1.089000000000000000e+03,2.668956612154772149e-10
1.091000000000000000e+03,2.603801885475015565e-10
1.093000000000000000e+03,2.548380296467962396e-10
1.095000000000000000e+03,2.657939946696524780e-10
1.097000000000000000e+03,2.556612684143783065e-10
1.099000000000000000e+03,2.553848717971126767e-10
1.101000000000000000e+03,2.654612470014245951e-10
1.103000000000000000e+03,2.706543457920458685e-10
1.105000000000000000e+03,2.618079385340539474e-10
1.107000000000000000e+03,2.440469636307849143e-10
1.109000000000000000e+03,2.378919559300213055e-10
1.111000000000000000e+03,2.592469467696761968e-10
1.113000000000000000e+03,2.454527031894233062e-10
1.115000000000000000e+03,2.537437944945726844e-10
1.117000000000000000e+03,2.501821523246119456e-10
1.119000000000000000e+03,2.099545666291367671e-10
1.121000000000000000e+03,2.496031734165043980e-10
1.123000000000000000e+03,2.079728020657964360e-10
1.125000000000000000e+03,2.369889267467284455e-10
1.127000000000000000e+03,2.497933036263679636e-10
1.129000000000000000e+03,1.715963677817455821e-10
1.131000000000000000e+03,2.350048747151019035e-10
1.133000000000000000e+03,2.029994371673578714e-10
1.135000000000000000e+03,1.581525752799263572e-10
1.137000000000000000e+03,2.373774482988628745e-10
1.139000000000000000e+03,2.423075747334665518e-10
1.141000000000000000e+03,2.494033859363180167e-10
1.143000000000000000e+03,2.484767082948861570e-10
1.145000000000000000e+03,2.286232078428248770e-10
1.147000000000000000e+03,2.553213830834368106e-10
1.149000000000000000e+03,2.498860838596529284e-10
1.151000000000000000e+03,2.436210414990816015e-10
1.153000000000000000e+03,2.157099185088339906e-10
1.155000000000000000e+03,2.278299166556501657e-10
