wavelength_100s,photons_100s,wavelength_1000s,photons_1000s
9.390000000000000000e+02,2.594395110129901241e+02,9.390000000000000000e+02,2.594395110129901241e+03
9.410000000000000000e+02,3.072727358229615220e+02,9.410000000000000000e+02,3.072727358229615220e+03
9.430000000000000000e+02,2.072976341447173354e+02,9.430000000000000000e+02,2.072976341447173127e+03
9.450000000000000000e+02,2.719868224191949935e+02,9.450000000000000000e+02,2.719868224191950048e+03
9.470000000000000000e+02,3.489066445920840351e+02,9.470000000000000000e+02,3.489066445920840124e+03
9.490000000000000000e+02,1.672260988453464279e+02,9.490000000000000000e+02,1.672260988453464506e+03
9.510000000000000000e+02,2.789810982063540905e+02,9.510000000000000000e+02,2.789810982063541360e+03
9.530000000000000000e+02,3.944861927161973654e+02,9.530000000000000000e+02,3.944861927161974108e+03
9.550000000000000000e+02,2.959238518572102521e+02,9.550000000000000000e+02,2.959238518572102748e+03
9.570000000000000000e+02,4.623963396034674815e+02,9.570000000000000000e+02,4.623963396034674588e+03
9.590000000000000000e+02,4.466149074769239746e+02,9.590000000000000000e+02,4.466149074769239633e+03
9.610000000000000000e+02,7.925336396840876887e+02,9.610000000000000000e+02,7.925336396840876660e+03
9.630000000000000000e+02,8.149546700702435373e+02,9.630000000000000000e+02,8.149546700702436283e+03
9.650000000000000000e+02,8.497643037039296132e+02,9.650000000000000000e+02,8.497643037039297269e+03
9.670000000000000000e+02,9.998252833647553643e+02,9.670000000000000000e+02,9.998252833647553416e+03
9.690000000000000000e+02,1.183073418283936007e+03,9.690000000000000000e+02,1.183073418283936189e+04
9.710000000000000000e+02,9.847255998321322750e+02,9.710000000000000000e+02,9.847255998321323204e+03
9.730000000000000000e+02,5.026749296876472499e+02,9.730000000000000000e+02,5.026749296876472727e+03
9.750000000000000000e+02,1.140276875455073878e+03,9.750000000000000000e+02,1.140276875455073969e+04
9.770000000000000000e+02,8.056159421206390334e+02,9.770000000000000000e+02,8.056159421206390107e+03
9.790000000000000000e+02,1.338935285708076208e+03,9.790000000000000000e+02,1.338935285708076299e+04
9.810000000000000000e+02,1.089273941871024363e+03,9.810000000000000000e+02,1.089273941871024363e+04
9.830000000000000000e+02,1.245098422485707715e+03,9.830000000000000000e+02,1.245098422485707488e+04
9.850000000000000000e+02,1.219035828414351727e+03,9.850000000000000000e+02,1.219035828414351636e+04
9.870000000000000000e+02,1.035881781630611840e+03,9.870000000000000000e+02,1.035881781630611840e+04
9.890000000000000000e+02,6.755846472137114915e+02,9.890000000000000000e+02,6.755846472137115597e+03
9.910000000000000000e+02,7.439179054570221297e+02,9.910000000000000000e+02,7.439179054570220615e+03
9.930000000000000000e+02,7.965657965650070764e+02,9.930000000000000000e+02,7.965657965650070764e+03
9.950000000000000000e+02,1.298666409117059629e+03,9.950000000000000000e+02,1.298666409117059629e+04
9.970000000000000000e+02,1.936122324037881299e+03,9.970000000000000000e+02,1.936122324037881117e+04
9.990000000000000000e+02,2.393050099956642043e+03,9.990000000000000000e+02,2.393050099956642225e+04
1.001000000000000000e+03,3.300867761359510951e+03,1.001000000000000000e+03,3.300867761359510769e+04
1.003000000000000000e+03,4.339256679106899355e+03,1.003000000000000000e+03,4.339256679106898810e+04
1.005000000000000000e+03,5.760010442609476740e+03,1.005000000000000000e+03,5.760010442609477468e+04
1.007000000000000000e+03,6.554474446887605154e+03,1.007000000000000000e+03,6.554474446887605882e+04
1.009000000000000000e+03,8.325977148924464927e+03,1.009000000000000000e+03,8.325977148924463836e+04
1.011000000000000000e+03,8.455858404891248938e+03,1.011000000000000000e+03,8.455858404891249666e+04
1.013000000000000000e+03,1.011792747785044412e+04,1.013000000000000000e+03,1.011792747785044485e+05
1.015000000000000000e+03,1.271045714498838242e+04,1.015000000000000000e+03,1.271045714498838352e+05
1.017000000000000000e+03,1.375061387483770704e+04,1.017000000000000000e+03,1.375061387483770668e+05
1.019000000000000000e+03,1.812855553733342822e+04,1.019000000000000000e+03,1.812855553733342967e+05
1.021000000000000000e+03,1.708824290145620398e+04,1.021000000000000000e+03,1.708824290145620471e+05
1.023000000000000000e+03,1.752420493218615229e+04,1.023000000000000000e+03,1.752420493218615302e+05
1.025000000000000000e+03,9.013233123885165696e+03,1.025000000000000000e+03,9.013233123885166424e+04
