wavelength_100s,snr_100s,wavelength_1000s,snr_1000s
9.390000000000000000e+02,1.610652080613747827e+01,9.390000000000000000e+02,5.093329092828575000e+01
9.410000000000000000e+02,1.752864047952330395e+01,9.410000000000000000e+02,5.543042820151968897e+01
9.430000000000000000e+02,1.439715721866174114e+01,9.430000000000000000e+02,4.552780864250593851e+01
9.450000000000000000e+02,1.649143183041243432e+01,9.450000000000000000e+02,5.215048646150297174e+01
9.470000000000000000e+02,1.867852097147566326e+01,9.470000000000000000e+02,5.906666959308406462e+01
9.490000000000000000e+02,1.293083914983667526e+01,9.490000000000000000e+02,4.089090377075919491e+01
9.510000000000000000e+02,1.670214356210766127e+01,9.510000000000000000e+02,5.281681546337817679e+01
9.530000000000000000e+02,1.986118560610271899e+01,9.530000000000000000e+02,6.280658354663639642e+01
9.550000000000000000e+02,1.720187062915206511e+01,9.550000000000000000e+02,5.439709120367416517e+01
9.570000000000000000e+02,2.150294957501828819e+01,9.570000000000000000e+02,6.799829706880748859e+01
9.590000000000000000e+02,2.113280408105586261e+01,9.590000000000000000e+02,6.682779424223811304e+01
9.610000000000000000e+02,2.815162766455727095e+01,9.610000000000000000e+02,8.902326326100758536e+01
9.630000000000000000e+02,2.854706938613529132e+01,9.630000000000000000e+02,9.027375978305229864e+01
9.650000000000000000e+02,2.915038257298515134e+01,9.650000000000000000e+02,9.218160359591259123e+01
9.670000000000000000e+02,3.161970562394698092e+01,9.670000000000000000e+02,9.999028871570800447e+01
9.690000000000000000e+02,3.439555085480299823e+01,9.690000000000000000e+02,1.087682820773289478e+02
9.710000000000000000e+02,3.138002709078296704e+01,9.710000000000000000e+02,9.923235864466151668e+01
9.730000000000000000e+02,2.241997837742201938e+01,9.730000000000000000e+02,7.089819676437977591e+01
9.750000000000000000e+02,3.376769722365651205e+01,9.750000000000000000e+02,1.067828345656988063e+02
9.770000000000000000e+02,2.838303089158426573e+01,9.770000000000000000e+02,8.975502451632591772e+01
9.790000000000000000e+02,3.659119820383129706e+01,9.790000000000000000e+02,1.157115286387690247e+02
9.810000000000000000e+02,3.300385495999071850e+01,9.810000000000000000e+02,1.043673532394160191e+02
9.830000000000000000e+02,3.528567588683969802e+01,9.830000000000000000e+02,1.115831045808952382e+02
9.850000000000000000e+02,3.491441434030182478e+01,9.850000000000000000e+02,1.104090724861989514e+02
